scramble,recover,time,step
1 17 2 8 17 8 13 8 13 9 14 10 13 2 11 2 10 4,14 7 1 11 17 2 5 6 5 7 3 6 4 7 4 9 3 11 4 9 15 5 16 4 15 5 16 3 16 5 15 16 15 3 16 4 15 16 4 17 9 3 10 4 17 5 15 5 5 16 4 15 9 16 4 15 3 15 10 17 3 15,9332,62
11 3 14 11 3 16 7 0 8 4 9 0 11 3 6 17 11 3 7,1 6 3 9 5 9 13 2 3 16 6 15 7 5 13 4 12 3 15 3 16 3 15 4 16 5 3 16 3 15 4 16 4 15 5 10 3 9 4 10 4 9 7 13 9 12 6 10 4 10 3 9 3 13 10 3 9 3 10 4 9 12 10 4 9 3 9 13 10 12 3,7882,70
14 11 15 7 13 1 8 2 14 8 17 1 10 1 13 3 10 17,7 16 0 6 15 1 5 10 5 9 3 10 4 9 5 13 3 12 4 13 4 12 3 15 4 16 5 16 3 15 4 7 5 8 16 7 15 7 6 4 3 7 4 3 6 4 16 4 7 3 6 4 7 3 8 15 7 4 3 4 7 3 6 4 7 3 7 4 7 4 7 3 6 3 8 4,10402,76
12 6 17 2 11 17 10 0 10 5 8 5 10 16 1 16 8 2 8,12 4 11 5 17 8 3 12 7 13 4 10 3 9 4 10 4 9 3 4 13 3 12 9 3 10 3 6 3 7 4 7 3 6 7 4 6 3 7 4 6 13 4 12 7 12 6 13 4 4 3 4 16 6 17 10 17 7 17 9 16 5 13 4 12 3 12 7 14 3 12 4 6 15 4 16,11328,76
7 13 7 15 10 12 10 5 15 5 13 10 13 3 13 9 16 2,3 6 10 12 16 0 14 4 15 5 16 5 10 4 9 4 6 5 7 3 4 7 12 6 13 3 9 4 10 3 9 3 9 13 10 12 9 13 10 12 4 10 9 4 9 3 11 10 3 9 4 10 4 11 4,7663,54
14 3 10 1 16 0 7 14 2 11 3 13 11 17 4 8 0 14 4,10 15 6 2 17 5 6 5 7 4 6 5 7 5 9 4 10 3 9 3 11 3 9 5 10 3 9 3 7 3 6 5 7 3 8 3 7 3 6 5 7 5 6 16 6 14 7 15 6 14 8 4,7941,53
1 6 3 17 10 15 0 10 12 6 3 16 5 8 17 1 12 11,9 15 13 8 16 7 13 4 12 3 6 4 7 2 5 12 3 13 5 12 4 13 15 10 16 9 5 16 4 15 4 7 3 6 16 6 15 7 4 10 9 7 4 8 15 3 16 4 8 5 6 3 0 7 4 6 3 1 8 3 7 3 6 4 6 4 8 5,11137,65
8 3 17 11 13 11 17 5 7 1 6 2 6 14 3 9 3 11,1 10 13 6 12 8 3 9 3 10 4 9 5 10 3 13 4 12 5 13 3 12 15 5 16 12 5 13 3 12 4 13 3 7 13 4 12 3 13 4 12 3 6 3 12 5 13 5 12 7 13 4 12 3 12 6 14,11871,56
8 12 10 0 15 4 6 2 10 2 9 13 0 10 3 10 0 13 3,13 7 14 9 12 16 0 10 16 4 15 3 16 3 15 4 15 3 16 3 4 12 3 13 5 12 4 13 15 10 16 9 13 4 12 5 16 5 17 10 16 9 5 16 4 15 3 15 10 17 4 15 3 9 4 17 11 16 5 16 5 15 10 16 4 15 3 15 10 17,9428,70
13 8 3 9 4 13 8 5 7 14 5 9 12 4 8 2 10 13 4 16,12 1 14 6 16 1 15 3 16 5 15 5 16 5 13 4 12 4 15 3 16 3 9 3 10 12 5 13 4 12 5 13 5 7 5 6 3 7 4 6 5 4 7 4 6 3 7 3 6 15 3 16 7 4 6 6 3 4 7 10 6 10 6 1 10 6 10 6 4 10 6 17 10 8 10 14 10 6 3,11936,70
1 16 1 10 0 16 3 14 0 8 4 12 8 2 10 2 13 0 10,15 1 3 10 15 11 1 0 12 3 13 1 6 5 7 3 6 16 7 15 10 4 9 15 4 16 3 16 4 15 3 15 3 16 4 7 3 6 3 10 16 6 16 7 17 9 7 4 6 15 7 5 6 5 6 16 7 4 7 5 6 5,8100,61
0 9 12 2 16 6 15 3 6 5 6 0 9 17 3 13 2 13 8,2 17 13 3 13 9 4 10 3 9 4 9 3 10 12 4 13 3 12 4 13 4 13 3 12 3 6 4 7 5 3 15 4 16 4 15 4 16 3 15 4 16 3 7 4 13 5 12 3 13 4 12 6 15 4 15 3 16 0 15 1 15 0 4 17 3 17 1 17,9234,68
15 3 15 3 8 4 10 16 8 12 7 2 11 12 0 14 7 0 13 3,16 12 9 5 14 1 14 3 0 3 5 6 4 8 3 6 4 10 5 9 3 10 4 9 3 6 4 4 7 3 13 4 12 3 16 4 15 7 4 13 3 12 6 15 4 15 3 17 16 3 15 4 16 4 17 5,7950,55
14 11 16 11 14 10 3 10 2 7 16 8 0 7 3 9 5 9 4,1 12 6 3 6 16 7 4 6 2 3 6 5 7 4 6 3 7 5 3 15 4 16 4 15 4 16 3 15 4 16 3 5 1 4 16 3 15 0 3 16 4 15 3 13 10 15 10 16 11 12 3 16 4 15 9 16 4 15 3 15 10 17 3 15 3,8278,66
10 5 11 12 1 12 6 1 12 1 17 5 6 12 7 12 6 17 5 8,9 15 0 16 3 1 3 11 5 15 10 16 9 15 3 16 4 13 5 12 5 13 3 12 4 16 3 15 4 16 3 15 5 16 3 15 12 4 13 4 12 4 13 3 12 4 13 3 5 15 4 15 3 16 0 15 1 15 0 4 17 3 17 1 17 3,8556,64
12 7 15 7 16 8 16 0 16 2 17 7 3 12 3 7 13 10 14,10 15 0 16 6 0 10 1 5 4 13 4 12 4 13 3 12 16 4 15 3 4 6 16 7 15 5 7 4 6 3 10 5 9 4 10 3 9 3 9 4 10 4 9 4 10 3 9 4 10 3 4 15 3 9 4 10 16 3 6 3 15 7 4 6 3 6 16 8 3 6 3 7 4 6 4 7,10819,77
9 12 10 3 13 3 17 3 16 8 17 0 13 8 5 14 8 17,10 0 8 17 1 15 3 0 3 9 5 11 4 9 3 5 15 4 16 3 16 3 15 3 16 3 15 4 16 3 15 3 12 6 16 6 15 8 13 3 16 3 16 4 16 4 16 3 15 3 17,7607,51
16 1 12 1 6 4 15 10 5 7 14 8 17 2 14 7 5 12 5,12 9 15 10 6 0 12 0 13 9 12 5 13 3 12 3 15 3 16 4 15 3 16 5 10 4 11 5 10 12 4 13 10 3 9 10 5 9 3 10 3 9 4 9 3 12 10 4 9 3 9 13 11 3 9 3 10 4 9 4 10 5,8705,62
9 17 7 12 8 15 3 11 17 11 8 16 11 15 11 2 16 10,15 12 10 6 17 10 16 12 3 13 4 9 3 10 5 12 3 14 4 14 3 13 5 13 3 12 4 13 3 12 4 13 3 12 7 3 6 4 15 4 16 7 3 6 4 6 3 7 3 6 5 7 8 7 4 6 3 8 7 3 6 4 7 4 8 4,10030,65
8 15 8 2 13 17 5 17 1 10 0 7 14 16 2 8 17 6 2,15 6 15 10 13 10 2 4 16 3 15 4 16 4 15 14 7 14 5 3 7 4 6 4 7 3 6 5 6 5 7 3 13 4 14 5 13 3 10 16 4 15 9 12 4 13 5 15 12 4 13 3 16 5,8230,55
2 11 2 12 17 11 16 6 1 14 3 12 4 0 17 1 9,1 4 9 13 4 12 3 6 16 7 16 4 15 4 9 3 10 4 7 3 6 4 7 4 6 3 9 13 10 12 5 10 3 9 3 10 4 9 5 9 13 10 12 5 5 9 3 10 3 9 5 9 0 10 5 9 1 10 5 10 3,8869,61
16 3 2 8 5 2 16 5 13 9 13 9 12 9 12 6 14 7,9 17 8 13 2 14 5 12 4 15 4 16 5 15 4 16 3 10 3 9 3 10 4 9 4 9 5 10 4 9 5 10 3 7 13 9 13 10 14 6 4,5868,41
4 8 17 3 11 4 8 0 11 3 13 3 16 11 0 7 4 0 12 9,14 8 4 10 15 0 6 4 7 3 6 3 7 3 13 10 12 3 12 4 13 9 4 16 3 15 4 15 3 16 5 16 4 15 3 15 10 16 9 5 15 10 16 9 3 16 1 15 5 16 0 15 3 15 5 16 3 15 3 16 5,7293,61
14 17 11 5 17 0 17 3 17 8 12 0 8 15 10 1 17 11 15,16 6 13 11 3 0 9 3 10 3 9 4 10 3 13 12 6 5 7 3 7 4 6 5 13 5 12 3 13 4 12 5 12 3 13 4 12 3 13 3 10 4 16 3 15 9 4 7 13 4 12 3 6 4 13 4 12 3 12 7 14 3 12 4 6 15 4 16,8293,68
10 0 9 16 5 9 1 13 3 10 5 14 2 10 5 14 11 17 6,0 15 10 17 7 2 12 5 14 4 12 5 10 3 9 4 10 4 9 3 15 10 16 9 16 3 15 3 7 5 6 5 7 4 6 5 6 16 7 15 10 17 8 1 7 0 7 17 9 4,7000,50
5 17 2 13 11 14 4 17 8 3 14 0 15 9 4 0 16 6 17,6 5 15 7 4 2 15 7 16 4 7 0 6 1 10 0 9 13 1 12 2 13 0 12 2 16 1 15 1 13 2 14 10 13 9 13 2 12 0 12 1 12 0 14 13 0 12 1 13 12 13 1 14,6398,53
0 16 11 16 3 12 10 6 13 9 1 3 14 11 0 14 2 11 12,7 16 2 17 7 0 3 15 4 16 5 12 7 13 6 12 3 13 3 13 4 12 4 13 3 12 4 16 4 15 4 16 4 15 3 12 6 16 15 13 15 3 16 4 12 7 13 5 13 4 12 6 13 4 12 3 12 7 14 3 12 4,8166,61
6 4 12 10 17 8 10 5 7 2 4 15 9 13 1 12 15 7,0 7 2 8 4 10 15 9 1 9 4 10 3 7 4 6 3 12 3 13 4 0 3 7 4 6 1 4 13 3 12 4 13 3 12 4 13 3 12 3 14 8 16 7 15 7 14 5 9 13 10 12,7329,52
11 4 11 12 4 15 3 6 0 11 4 10 17 2 7 14 6 14 2,14 5 7 13 9 2 10 2 9 1 10 13 6 7 12 16 0 15 7 2 6 10 2 9 1 10 0 9 2 16 0 15 0 16 1 15 2 15 7 16 6 2 16 1 15 1 16 2 15 0 17 1 15 1 15 0 16 0 17 0 4 15 1 16 0 3 0,8466,65
8 11 1 17 11 17 3 1 14 7 1 16 7 11 2 10 3 8 3 0,4 2 10 12 15 4 12 9 13 5 2 1 6 1 7 1 10 1 9 2 6 1 8 0 6 16 1 15 1 16 1 15 16 2 15 0 16 0 15 6 0 7 17 4 9 1 10 0 10 3 17 2,9898,53
5 2 11 5 15 8 2 15 11 2 11 6 13 7 10 0 14 3 7,9 15 4 7 1 9 16 4 0 12 1 13 1 6 0 7 2 6 1 7 1 9 2 10 1 9 0 10 2 10 2 9 1 0 16 1 10 0 11 15 10 0 16 1 9 0 11 0 11 2 10 15 6 1 7,6668,55
8 16 9 8 14 5 8 14 3 14 5 16 3 17 3 6 16 5 17,1 16 12 6 1 12 9 3 10 12 5 13 1 16 3 15 4 16 5 15 13 5 12 3 7 4 6 4 10 15 9 16 13 15 0 10 1 12 16 5 6 15 7 4 6 3 6 16 0 7 3 6 1 7 5 7 4,7113,53
2 8 10 0 8 0 11 0 11 14 8 13 7 14 3 14 10 4 16,0 9 15 9 0 7 3 1 3 13 4 12 3 7 4 6 3 5 13 3 12 3 13 3 12 4 13 3 12 5 12 5 13 3 12 4 13 4 9 5 10 4 9 3 10 3 4 3 6 5 7 4 6 3 6 0 7 3 6 1 7 4 7 3 6 3 7,10701,67
1 5 15 2 12 5 14 8 5 7 16 8 10 0 13 1 13 7 4,12 6 1 6 13 7 4 1 4 3 9 0 10 2 7 1 6 13 0 12 6 0 7 15 2 16 2 1 13 0 12 0 13 0 12 2 12 10 13 9 2 12 10 13 9 0 13 1 12 1 15 1 13 0 16 12 0 13 0 12 1,10534,60
4 6 11 17 5 8 15 8 12 8 2 12 6 0 13 17 4 7 2 13,10 7 15 0 13 1 13 3 12 7 5 6 5 13 4 14 3 13 5 13 5 12 3 13 4 12 4 16 4 15 3 13 9 12 4 13 10 12 5 4 15 0 16 3 15 1 16 3 16 3 15 4 16 3 15 3 16 4 15 5,9209,60
13 1 14 5 11 15 9 6 15 6 12 8 4 8 14 0 11 5 11,7 12 16 8 12 6 1 16 3 15 10 5 9 16 15 5 9 3 10 5 9 4 10 5 7 3 8 4 7 3 15 4 16 4 15 4 16 3 10 15 9 4 10 16 9 4 4 3 6 5 6 1 3 6 3 7 0 7 4 7 4 8 5,7760,61
9 3 6 1 8 5 1 17 3 1 15 6 9 12 3 16 3 1,4 6 16 0 12 16 6 15 13 4 12 7 3 8 4 7 3 9 3 10 5 9 4 10 3 7 3 6 3 7 3 6 4 7 3 6 3 12 4 13 4 15 16 13 15 1 9 0 12 16 5 11 1 9 5 10 0 11 3 11 1 9 3 10 0 11 3,9497,64
1 12 7 5 11 3 17 11 3 17 0 9 14 6 15 5 0 17,16 4 15 10 16 3 12 7 13 2 4 12 4 13 4 7 3 6 15 16 12 7 13 6 13 3 12 4 12 5 13 4 12 3 13 4 16 4 15 3 16 4 3 15 7 9 4 13 3 12 10 6 4 13 4 12 4 12 7 6 13 15 4 13 3 16 12 3 13 3 12 4,9130,67
3 13 11 14 6 2 6 11 17 6 1 8 12 8 14 7 5 17,14 10 6 4 11 12 2 13 0 12 1 14 0 12 2 10 0 9 12 2 14 1 14 1 13 1 6 1 7 0 6 1 7 0 13 6 12 1 13 7 12 2 2 16 1 15 2 15 3 16 1 15 4 17 0 15 1 16 0 15 2,7723,60
